task,model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc_macro
intent,log_reg,0.6099042709867453,0.5045642004620862,0.3356913444109413,0.37066664790622694,0.6054186866220186,0.6099042709867453,0.5923370369441433,0.8060585145774045
intent,sgd_log,0.5898379970544919,0.4750825806671616,0.27695401978109363,0.29685129639990215,0.5851251685901083,0.5898379970544919,0.5602444083368642,0.8124733309389077
intent,zero_shot,0.41439617083946984,0.25323744310138707,0.19471426775150266,0.19940263030021996,0.4112084419862029,0.41439617083946984,0.40016139713585636,0.6135590307161503
intent,rnn_lstm,0.6056701030927835,0.39754656710150593,0.39996537134366955,0.39209482956837854,0.5938047217985498,0.6056701030927835,0.5963274511500688,0.7848541863591599
intent,multinomial_nb,0.563880706921944,0.35673921876063636,0.2684684191236882,0.2868375878694925,0.5476368683591983,0.563880706921944,0.5387308372219758,0.7896023871274488
severity,log_reg,0.9182621502209131,0.9724086502609993,0.44903563255966,0.4951436309533288,0.9250279230214191,0.9182621502209131,0.8858719068783105,0.7789266936390042
severity,sgd_log,0.9090574374079529,0.6362516931412387,0.3649122807017544,0.3750911851840824,0.858077133793204,0.9090574374079529,0.8685000086824761,0.7778862603089259
severity,zero_shot,0.663659793814433,0.3716014246918649,0.382972609147471,0.3435350244747631,0.8410658371855516,0.663659793814433,0.7375681840650499,0.572061037040417
severity,rnn_lstm,0.9195508100147275,0.7171988375002406,0.5136276091430415,0.5399713076561465,0.8951009158388962,0.9195508100147275,0.8933162150625907,0.7759986764387873
severity,multinomial_nb,0.9077687776141384,0.5301685991149947,0.3593781200969904,0.36443344475089345,0.8468866942079016,0.9077687776141384,0.8670283545437552,0.6903494316738147
